Date,Open,High,Low,Close,Volume,Adj Close
2015-05-05,10918.40,10984.05,10754.30,10868.12,6795940000,10868.12
2015-05-04,11149.48,11149.48,10843.71,10926.77,6594720000,10926.77
2015-05-03,11009.60,11203.37,11004.15,11151.83,4938050000,11151.83
2015-04-30,11168.23,11235.94,10984.35,11008.61,6048260000,11008.61
2015-04-29,11045.64,11232.54,11045.64,11167.32,6059410000,11167.32
2015-04-28,10988.87,11115.63,10938.48,11045.27,6342310000,11045.27
2015-04-27,11203.67,11260.88,10962.81,10991.99,7454540000,10991.99
2015-04-26,11205.11,11308.95,11150.01,11205.03,5647760000,11205.03
2015-04-23,11132.18,11247.20,11058.87,11204.28,5326060000,11204.28
2015-04-22,11119.78,11175.33,10975.66,11134.29,6035780000,11134.29
2015-04-21,11116.91,11217.35,11018.59,11124.92,5724310000,11124.92
2015-04-20,11093.11,11190.22,11045.80,11117.06,5316590000,11117.06
2015-04-19,11018.36,11116.76,10940.60,11092.05,6597740000,11092.05
2015-04-16,11143.66,11186.82,10947.55,11018.66,8108470400,11018.66
2015-04-15,11122.96,11189.61,11051.31,11144.57,5995330000,11144.57
2015-04-14,11020.70,11147.14,11004.61,11123.11,5760040000,11123.11
2015-04-13,11006.72,11072.70,10925.86,11019.42,5403580000,11019.42
2015-04-12,10996.75,11066.96,10957.22,11005.97,4607090000,11005.97
2015-04-09,10926.92,11032.12,10894.19,10997.35,4511570000,10997.35
2015-04-08,10896.99,10969.92,10810.15,10927.07,4726970000,10927.07
2015-04-07,10961.95,11000.22,10835.77,10897.52,5101430000,10897.52
2015-04-06,10972.49,11017.76,10893.89,10969.99,4086180000,10969.99
2015-04-05,10927.45,11026.75,10880.36,10973.55,3881620000,10973.55
2015-04-01,10857.31,10983.14,10851.57,10927.07,4006870000,10927.07
2015-03-31,10907.34,10933.19,10802.22,10856.63,4484340000,10856.63
2015-03-30,10895.02,10968.56,10837.21,10907.42,4085000000,10907.42
2015-03-29,10849.23,10954.43,10827.91,10895.86,4375580000,10895.86
2015-03-26,10841.29,10934.85,10801.84,10850.36,4708420000,10850.36
2015-03-25,10837.51,10985.26,10818.77,10841.21,5668900000,10841.21
2015-03-24,10887.62,10925.48,10788.77,10836.15,4705750000,10836.15
2015-03-23,10787.18,10906.06,10752.41,10888.83,4411640000,10888.83
2015-03-22,10741.00,10836.68,10672.23,10785.89,4261680000,10785.89
2015-03-19,10780.00,10869.55,10665.35,10741.98,5212410000,10741.98
2015-03-18,10733.44,10821.49,10686.89,10779.17,4234510000,10779.17
2015-03-17,10686.36,10787.86,10658.10,10733.67,4963200000,10733.67
2015-03-16,10642.53,10717.42,10594.16,10685.98,4369770000,10685.98
2015-03-15,10623.41,10680.32,10540.65,10642.15,4164110000,10642.15
2015-03-12,10611.77,10690.90,10561.66,10624.69,4928160000,10624.69
2015-03-11,10560.98,10626.73,10489.87,10611.84,4669060000,10611.84
2015-03-10,10560.13,10639.05,10502.64,10567.33,5469120000,10567.33
2015-03-09,10552.24,10637.46,10493.49,10564.38,5185570000,10564.38
2015-03-08,10563.78,10632.48,10500.90,10552.52,3774680000,10552.52
2015-03-05,10445.13,10587.13,10445.13,10566.20,4133000000,10566.20
2015-03-04,10396.53,10484.05,10363.88,10444.14,3945010000,10444.14
2015-03-03,10406.28,10496.22,10359.58,10396.76,3951320000,10396.76
2015-03-02,10404.16,10493.80,10359.80,10405.98,4134680000,10405.98
2015-03-01,10326.10,10444.60,10320.05,10403.79,3847640000,10403.79
2015-02-26,10321.41,10391.24,10250.45,10325.26,3945190000,10325.26
2015-02-25,10366.60,10366.60,10155.75,10321.03,4521130000,10321.03
2015-02-24,10284.00,10416.94,10271.61,10374.16,4168360000,10374.16
2015-02-23,10383.16,10430.16,10239.34,10282.41,4521050000,10282.41
2015-02-22,10402.43,10468.55,10333.05,10383.38,3814440000,10383.38
2015-02-19,10387.77,10459.18,10316.50,10402.35,3944280000,10402.35
2015-02-18,10309.39,10416.79,10255.58,10392.90,3878620000,10392.90
2015-02-17,10261.48,10366.83,10223.16,10309.24,4259230000,10309.24
2015-02-16,10100.81,10292.62,10100.81,10268.81,4080770000,10268.81
2015-02-12,10137.23,10140.18,9962.13,10099.14,4160680000,10099.14
2015-02-11,10037.85,10184.85,9963.19,10144.19,4400870000,10144.19
2015-02-10,10055.46,10120.15,9946.26,10038.38,4251450000,10038.38
2015-02-09,9910.28,10154.24,9910.28,10058.64,5114260000,10058.64
2015-02-08,10005.43,10059.24,9882.85,9908.39,4089820000,9908.39
2015-02-05,10003.69,10078.89,9822.84,10012.23,6438900000,10012.23
2015-02-04,10273.12,10273.12,9984.35,10002.18,5859690000,10002.18
2015-02-03,10291.73,10356.86,10192.03,10270.55,4285450000,10270.55
2015-02-02,10186.13,10333.35,10138.75,10296.85,4749540000,10296.85
2015-02-01,10068.99,10227.24,10068.99,10185.53,4077610000,10185.53
2015-01-29,10122.04,10272.29,10014.35,10067.33,5412850000,10067.33
2015-01-28,10236.92,10310.68,10023.80,10120.46,5452400000,10120.46
2015-01-27,10194.29,10294.13,10060.98,10236.16,5319120000,10236.16
2015-01-26,10195.35,10323.00,10102.17,10194.29,4731910000,10194.29
2015-01-25,10175.10,10316.65,10135.95,10196.86,4481390000,10196.86
2015-01-22,10389.58,10450.04,10133.15,10172.98,6208650000,10172.98
2015-01-21,10603.91,10651.14,10334.18,10389.88,6874289600,10389.88
2015-01-20,10719.69,10719.69,10492.36,10603.15,4810560000,10603.15
2015-01-19,10608.37,10763.45,10555.47,10725.43,4724830000,10725.43
2015-01-15,10706.99,10736.54,10529.09,10609.65,4758730000,10609.65
2015-01-14,10680.16,10767.15,10619.02,10710.55,3915200000,10710.55
2015-01-13,10628.09,10747.12,10569.07,10680.77,4170360000,10680.77
2015-01-12,10662.86,10701.48,10523.35,10627.26,4716160000,10627.26
2015-01-11,10620.31,10739.87,10538.91,10663.99,4255780000,10663.99
2015-01-08,10606.40,10653.11,10509.74,10618.19,4389590000,10618.19
2015-01-07,10571.11,10655.60,10471.73,10606.86,5270680000,10606.86
2015-01-06,10564.72,10655.22,10488.28,10573.68,4972660000,10573.68
2015-01-05,10584.56,10647.14,10468.86,10572.02,2491020000,10572.02
2015-01-04,10430.69,10641.62,10430.69,10583.96,3991400000,10583.96
